Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-12-17T17:27:05Z,,14901,195134,31085,382,195134,JavaScript,MIT,"['algorithm', 'algorithms', 'computer-science', 'data-structures', 'interview', 'interview-preparation', 'javascript', 'javascript-algorithms']",True,False,True,False,False,False,False,False,False,master
node,Node.js JavaScript runtime ✨🐢🚀✨,https://github.com/nodejs/node,2014-11-26T19:57:11Z,2025-12-17T18:21:06Z,https://nodejs.org,1379895,114798,34106,2429,114798,JavaScript,,"['javascript', 'js', 'linux', 'macos', 'mit', 'node', 'nodejs', 'runtime', 'windows']",True,True,True,False,False,False,False,False,False,main
three.js,JavaScript 3D Library.,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,2025-12-17T18:24:03Z,https://threejs.org/,1545489,109914,36167,614,109914,JavaScript,MIT,"['3d', 'augmented-reality', 'canvas', 'html5', 'javascript', 'svg', 'virtual-reality', 'webaudio', 'webgl', 'webgl2', 'webgpu', 'webxr']",True,False,False,True,True,False,False,False,False,dev
create-react-app,Set up a modern web app by running one command.,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,2025-12-17T15:34:20Z,https://create-react-app.dev,25186,103926,27179,2357,103926,JavaScript,MIT,"['build-tools', 'react', 'zero-configuration']",True,False,True,False,True,True,False,False,False,main
awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",https://github.com/jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2025-12-17T18:55:40Z,https://git.io/macx,25243,95902,7200,165,95902,JavaScript,CC0-1.0,"['app', 'apple', 'application', 'apps', 'awesome', 'awesome-list', 'awesome-lists', 'awesome-mac', 'desktop-app', 'desktop-application', 'desktop-apps', 'list', 'mac', 'mac-osx', 'macos', 'macos-app', 'macos-apps', 'macosx', 'software']",True,False,True,False,True,False,False,False,False,master
