Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28+00:00,2025-12-17T19:32:26+00:00,,11243,329592,53661,516,329592,Python,other,"design,design-patterns,design-system,development,interview,interview-practice,interview-questions,programming,python,system,web,web-application,webapp",True,True,True,True,False,False,False,False,False,master
awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2014-06-27T21:00:06+00:00,2025-12-17T20:01:01+00:00,https://awesome-python.com/,6856,274193,26913,527,274193,Python,other,"awesome,collections,python,python-framework,python-library,python-resources",False,False,True,False,True,False,False,False,False,master
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01+00:00,2025-12-17T18:57:37+00:00,https://thealgorithms.github.io/Python/,15638,214872,49630,802,214872,Python,mit,"algorithm,algorithm-competitions,algorithms-implemented,algos,community-driven,education,hacktoberfest,interview,learn,practice,python,searches,sorting-algorithms,sorts",True,True,True,True,True,True,False,False,False,master
