Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
keras_tutorial,,https://github.com/dylandrover/keras_tutorial,2015-12-02T05:28:43+00:00,2019-09-13T21:34:38+00:00,,757,15,11,0,15,Python,,,True,True,True,True,False,False,False,False,False,master
DoodleJump,This project was made in 120 minutes for a YouTube speed code.,https://github.com/f-prime/DoodleJump,2015-11-28T20:06:53+00:00,2024-11-16T18:21:44+00:00,,71,15,13,0,15,Python,gpl-3.0,,True,True,True,True,False,False,False,False,False,master
win-driver-tools,A couple of little tools I've made for working with Windows Drivers,https://github.com/sam-b/win-driver-tools,2015-12-09T22:50:53+00:00,2020-06-23T12:08:02+00:00,,5599,15,11,0,15,Python,mpl-2.0,,True,True,True,True,False,False,False,False,False,master
python,,https://github.com/Hung-Jia-Jun/python,2015-12-28T03:33:22+00:00,2021-12-23T04:24:46+00:00,,58509,15,6,0,15,Python,,,True,True,True,True,False,False,False,False,False,master
django-rest-framework-benchmark,Some benchmark for Django REST framework,https://github.com/xordoquy/django-rest-framework-benchmark,2015-08-25T21:34:01+00:00,2025-03-17T13:23:17+00:00,,152,15,2,0,15,Python,mit,,True,True,True,True,False,False,False,False,False,master
hunspeech,,https://github.com/hlt-bme-hu/hunspeech,2015-07-21T08:23:43+00:00,2022-11-21T07:58:45+00:00,,41,15,12,7,15,Python,mit,,True,True,True,True,False,False,False,False,False,master
