name,html_url,description,language,stars,forks,created_at,updated_at
r-color-palettes,https://github.com/EmilHvitfeldt/r-color-palettes,Comprehensive list of color palettes available in R ❤️🧡💛💚💙💜,R,1646,145,2018-03-02T05:08:25Z,2025-12-09T13:01:48Z
stats337,https://github.com/hadley/stats337,Readings in applied data science,R,1621,224,2018-03-26T22:51:33Z,2025-12-14T15:55:56Z
bbplot,https://github.com/bbc/bbplot,R package that helps create and export ggplot2 charts in the style used by the BBC News data team,R,1607,270,2019-01-15T17:28:21Z,2025-12-06T06:38:45Z
rvest,https://github.com/tidyverse/rvest,Simple web scraping for R,R,1510,351,2014-07-23T21:22:27Z,2025-12-03T14:45:36Z
broom,https://github.com/tidymodels/broom,Convert statistical analysis objects from R into tidy format,R,1503,305,2014-09-11T19:17:04Z,2025-12-04T17:31:24Z
tofsims,https://github.com/fossasia/tofsims,,R,1500,6,2016-11-24T22:48:01Z,2025-11-01T19:45:11Z
ComplexHeatmap,https://github.com/jokergoo/ComplexHeatmap,Make Complex Heatmaps ,R,1452,244,2015-01-29T11:45:58Z,2025-12-14T20:05:11Z
janitor,https://github.com/sfirke/janitor,simple tools for data cleaning in R,R,1440,132,2016-04-12T22:29:40Z,2025-12-14T21:37:08Z
plumber,https://github.com/rstudio/plumber,Turn your R code into a web API.,R,1437,261,2015-06-04T05:09:10Z,2025-12-16T14:27:17Z
tidyr,https://github.com/tidyverse/tidyr,Tidy Messy Data,R,1419,420,2014-06-10T14:24:33Z,2025-12-06T06:38:47Z
rnaseq_tutorial,https://github.com/griffithlab/rnaseq_tutorial,"Informatics for RNA-seq: A web resource for analysis on the cloud. Educational tutorials and working pipelines for RNA-seq analysis including an introduction to: cloud computing, critical file formats, reference genomes, gene annotation, expression, differential expression, alternative splicing, data visualization, and interpretation.",R,1409,624,2014-07-31T18:58:09Z,2025-12-16T18:21:24Z
sf,https://github.com/r-spatial/sf,Simple Features for R,R,1409,299,2015-11-06T21:49:34Z,2025-12-16T20:15:02Z
brms,https://github.com/paul-buerkner/brms,brms R package for Bayesian generalized multivariate non-linear multilevel models using Stan,R,1372,207,2015-06-17T16:29:31Z,2025-12-16T12:47:52Z
mastering-shiny,https://github.com/hadley/mastering-shiny,Mastering Shiny: a book,R,1369,572,2016-07-09T07:45:54Z,2025-12-06T06:38:53Z
purrr,https://github.com/tidyverse/purrr,A functional programming toolkit for R,R,1363,294,2014-11-29T17:33:40Z,2025-12-14T08:23:33Z
ggthemes,https://github.com/jrnold/ggthemes,"Additional themes, scales, and geoms for ggplot2",R,1348,226,2012-09-07T00:00:07Z,2025-12-16T05:47:43Z
drake,https://github.com/ropensci/drake,An R-focused pipeline toolkit for reproducibility and high-performance computing,R,1341,129,2017-02-20T22:28:40Z,2025-12-06T06:38:55Z
tensorflow,https://github.com/rstudio/tensorflow,TensorFlow for R,R,1338,319,2016-08-22T15:46:39Z,2025-12-06T06:39:53Z
hrbrthemes,https://github.com/hrbrmstr/hrbrthemes,":lock_with_ink_pen: Opinionated, typographic-centric ggplot2 themes and theme components",R,1324,100,2017-02-11T17:03:01Z,2025-12-12T08:01:35Z
lintr,https://github.com/r-lib/lintr,Static Code Analysis for R,R,1268,195,2014-09-28T02:48:15Z,2025-12-17T10:26:44Z
vitae,https://github.com/mitchelloharawild/vitae,R Markdown Résumés and CVs,R,1261,248,2018-11-21T23:10:25Z,2025-12-13T05:42:44Z
ggrepel,https://github.com/slowkow/ggrepel,:round_pushpin: Repel overlapping text labels away from each other in your ggplot2 figures.,R,1245,94,2016-01-03T22:10:58Z,2025-12-15T06:11:28Z
ggpubr,https://github.com/kassambara/ggpubr,'ggplot2' Based Publication Ready Plots,R,1225,180,2016-07-19T19:35:48Z,2025-12-10T19:40:05Z
MetBrewer,https://github.com/BlakeRMills/MetBrewer,Color palette package in R inspired by works at the Metropolitan Museum of Art in New York,R,1220,85,2021-12-11T15:00:54Z,2025-12-15T12:46:16Z
r-source,https://github.com/wch/r-source,"Read-only mirror of R source code from https://svn.r-project.org/R/, updated hourly. See the build instructions on the wiki page.",R,1213,322,2012-09-08T15:00:15Z,2025-12-17T15:43:43Z
advanced-shiny,https://github.com/daattali/advanced-shiny,🤹 Shiny tips & tricks for improving your apps and solving common problems,R,1213,383,2015-07-22T08:18:11Z,2025-12-02T16:11:40Z
statistics-for-data-scientists,https://github.com/andrewgbruce/statistics-for-data-scientists,"Code and data associated with the book ""Statistics for Data Scientists: 50 Essential Concepts""",R,1201,667,2017-04-30T15:47:59Z,2025-11-21T23:09:34Z
tidytext,https://github.com/juliasilge/tidytext,Text mining using tidy tools :sparkles::page_facing_up::sparkles:,R,1198,183,2016-03-31T18:51:39Z,2025-12-08T15:53:07Z
swirl,https://github.com/swirldev/swirl,":cyclone: Learn R, in R.",R,1194,595,2013-10-12T15:15:54Z,2025-12-16T19:01:14Z
gtsummary,https://github.com/ddsjoberg/gtsummary,Presentation-Ready Data Summary and Analytic Result Tables,R,1159,142,2019-02-27T02:44:33Z,2025-12-09T20:56:35Z
forecast,https://github.com/robjhyndman/forecast,Forecasting Functions for Time Series and Linear Models,R,1152,342,2012-04-22T23:19:09Z,2025-12-16T01:28:40Z
easystats,https://github.com/easystats/easystats,:milky_way: The R easystats-project,R,1147,84,2019-01-28T10:39:29Z,2025-12-16T12:54:14Z
clusterProfiler,https://github.com/YuLab-SMU/clusterProfiler,:bar_chart: A universal enrichment tool for interpreting omics data,R,1146,263,2014-05-31T16:34:32Z,2025-12-15T10:41:46Z
performance,https://github.com/easystats/performance,":muscle: Models' quality and performance metrics (R2, ICC, LOO, AIC, BF, ...)",R,1119,104,2019-02-10T09:01:04Z,2025-12-14T15:08:11Z
renv,https://github.com/rstudio/renv,renv: Project environments for R.,R,1116,162,2018-11-28T20:25:39Z,2025-12-14T08:00:15Z
fasteR,https://github.com/matloff/fasteR,Fast Lane to Learning R!,R,1110,182,2019-04-28T19:02:30Z,2025-12-17T01:23:42Z
ggraph,https://github.com/thomasp85/ggraph,Grammar of Graph Graphics,R,1105,114,2016-01-13T12:52:59Z,2025-12-16T00:15:34Z
R,https://github.com/TheAlgorithms/R,Collection of various algorithms implemented in R.,R,1070,341,2018-09-23T16:10:03Z,2025-12-16T14:26:50Z
rstan,https://github.com/stan-dev/rstan,"RStan, the R interface to Stan",R,1068,271,2013-05-22T20:38:16Z,2025-12-16T17:40:15Z
tinytex,https://github.com/rstudio/tinytex,"A lightweight, cross-platform, portable, and easy-to-maintain LaTeX distribution based on TeX Live",R,1064,122,2017-11-16T21:24:02Z,2025-12-07T04:54:23Z
mlr3,https://github.com/mlr-org/mlr3,mlr3: Machine Learning in R - next generation,R,1041,94,2018-08-26T17:18:47Z,2025-12-16T19:06:44Z
targets,https://github.com/ropensci/targets,Function-oriented Make-like declarative workflows for R,R,1041,78,2019-08-01T17:33:25Z,2025-12-16T19:46:36Z
readr,https://github.com/tidyverse/readr,"Read flat files (csv, tsv, fwf) into R",R,1019,292,2013-07-25T15:28:22Z,2025-12-12T00:05:46Z
pointblank,https://github.com/rstudio/pointblank,Data quality assessment and metadata reporting for data frames and database tables,R,1018,59,2017-02-24T00:22:29Z,2025-12-17T09:10:36Z
