name,html_url,description,language,stars,forks,created_at,updated_at
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,180348,46186,2023-03-16T09:21:07Z,2025-12-17T14:13:02Z
transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,153977,31467,2018-10-29T13:56:00Z,2025-12-17T15:51:42Z
langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,141371,8181,2023-02-08T22:28:03Z,2025-12-17T16:03:34Z
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,137534,10996,2016-05-04T06:24:11Z,2025-12-17T15:56:47Z
DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,,Python,100776,16421,2024-12-26T09:52:40Z,2025-12-17T12:37:29Z
ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",Python,97178,11006,2023-01-17T03:15:56Z,2025-12-17T15:57:47Z
pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,95974,26259,2016-08-13T05:26:41Z,2025-12-17T15:44:37Z
thefuck,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.,Python,94930,3801,2015-04-08T15:08:04Z,2025-12-17T14:35:25Z
django,https://github.com/django/django,The Web framework for perfectionists with deadlines.,Python,86181,33397,2012-04-28T02:47:18Z,2025-12-17T15:30:24Z
awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",Python,83182,11743,2024-04-29T05:30:25Z,2025-12-17T15:56:28Z
