name,html_url,description,language,stars,forks,created_at,updated_at
mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,Python,44371,4824,2023-06-20T08:58:36Z,2025-12-17T16:52:03Z
react-hook-form,https://github.com/react-hook-form/react-hook-form,📋 React Hooks for form state management and validation (Web + React Native),TypeScript,44310,2334,2019-03-05T23:47:10Z,2025-12-17T16:24:07Z
tldraw,https://github.com/tldraw/tldraw,very good whiteboard infinite canvas SDK,TypeScript,44178,2885,2021-05-09T11:48:37Z,2025-12-17T16:43:28Z
winutil,https://github.com/ChrisTitusTech/winutil,"Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates",PowerShell,44130,2339,2022-04-28T02:25:19Z,2025-12-17T16:52:44Z
Leaflet,https://github.com/Leaflet/Leaflet,🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦,JavaScript,44129,6060,2010-09-22T16:57:44Z,2025-12-17T16:51:29Z
build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,A golang ebook intro how to build a web with golang,Go,44116,10560,2012-08-02T11:49:35Z,2025-12-17T16:29:49Z
Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,The communications platform that puts data protection first.,TypeScript,44110,12686,2015-05-19T07:36:09Z,2025-12-17T16:40:36Z
nvm-windows,https://github.com/coreybutler/nvm-windows,A node.js version management utility for Windows. Ironically written in Go.,Go,44096,3690,2014-09-20T16:37:28Z,2025-12-17T16:30:19Z
grpc,https://github.com/grpc/grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,44093,11009,2014-12-08T18:58:53Z,2025-12-17T15:22:49Z
Pake,https://github.com/tw93/Pake,🤱🏻 Turn any webpage into a desktop app with one command.,Rust,44086,8563,2022-10-14T09:32:57Z,2025-12-17T16:09:57Z
parcel,https://github.com/parcel-bundler/parcel,The zero configuration build tool for the web. 📦🚀,JavaScript,44029,2275,2017-08-07T16:36:47Z,2025-12-17T16:01:18Z
TTS,https://github.com/coqui-ai/TTS,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",Python,43902,5851,2020-05-20T15:45:28Z,2025-12-17T15:41:52Z
pyenv,https://github.com/pyenv/pyenv,Simple Python version management,Roff,43901,3237,2012-08-31T06:57:52Z,2025-12-17T15:50:05Z
react-use,https://github.com/streamich/react-use,React Hooks — 👍,TypeScript,43829,3273,2018-10-27T10:16:05Z,2025-12-17T14:27:09Z
retrofit,https://github.com/square/retrofit,A type-safe HTTP client for Android and the JVM,HTML,43827,7346,2010-09-06T21:39:43Z,2025-12-17T15:09:45Z
reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,JavaScript,43819,10230,2018-05-31T17:17:01Z,2025-12-17T16:12:19Z
babel,https://github.com/babel/babel,🐠 Babel is a compiler for writing next generation JavaScript.,TypeScript,43817,5791,2014-09-28T13:38:23Z,2025-12-17T12:11:47Z
edex-ui,https://github.com/GitSquared/edex-ui,"A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.",JavaScript,43771,2923,2017-01-28T09:35:02Z,2025-12-17T13:05:55Z
TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),Jupyter Notebook,43770,14835,2015-11-11T14:21:19Z,2025-12-16T22:26:55Z
front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,Front End interview preparation materials for busy engineers (updated for 2025),MDX,43737,5954,2018-01-13T19:40:08Z,2025-12-17T16:08:31Z
EasySpider,https://github.com/NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,JavaScript,43660,5362,2020-07-18T02:41:27Z,2025-12-17T16:27:47Z
airflow,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",Python,43575,16115,2015-04-13T18:04:58Z,2025-12-17T16:41:07Z
bevy,https://github.com/bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,Rust,43555,4279,2020-01-18T21:13:55Z,2025-12-17T16:25:19Z
fuels-rs,https://github.com/FuelLabs/fuels-rs,Fuel Network Rust SDK,Rust,43504,1359,2021-10-31T22:33:54Z,2025-12-17T03:20:20Z
fuels-ts,https://github.com/FuelLabs/fuels-ts,Fuel Network Typescript SDK,TypeScript,43476,1368,2021-09-03T18:11:03Z,2025-12-17T03:20:19Z
penpot,https://github.com/penpot/penpot,Penpot: The open-source design tool for design and code collaboration,Clojure,43369,2388,2015-12-29T22:09:07Z,2025-12-17T16:28:25Z
GitHubDaily,https://github.com/GitHubDaily/GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",,43344,4377,2018-12-30T13:56:58Z,2025-12-17T13:48:00Z
ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,Python,43305,7681,2024-11-29T16:30:01Z,2025-12-17T16:44:59Z
slidev,https://github.com/slidevjs/slidev,Presentation Slides for Developers,TypeScript,43269,1851,2021-04-24T01:25:23Z,2025-12-17T14:41:55Z
spotube,https://github.com/KRTirtho/spotube,🎧 Open source music streaming app! Available for both desktop & mobile!,Dart,43098,1923,2021-02-14T03:17:58Z,2025-12-17T16:11:39Z
iina,https://github.com/iina/iina,The modern video player for macOS.,Swift,42961,2711,2016-12-19T07:18:45Z,2025-12-17T16:16:08Z
awesome-compose,https://github.com/docker/awesome-compose,Awesome Docker Compose samples,HTML,42933,7907,2020-02-13T08:51:42Z,2025-12-17T16:50:08Z
pm2,https://github.com/Unitech/pm2,Node.js Production Process Manager with a built-in Load Balancer.,JavaScript,42804,2672,2013-05-21T03:25:25Z,2025-12-17T10:34:22Z
Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,Collection of Summer 2026 tech internships!,,42722,3130,2020-05-23T20:53:18Z,2025-12-17T16:39:22Z
streamlit,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,42718,3976,2019-08-24T00:14:52Z,2025-12-17T16:10:56Z
sentry,https://github.com/getsentry/sentry,Developer-first error tracking and performance monitoring,Python,42708,4537,2010-08-30T22:06:41Z,2025-12-17T16:53:24Z
cobra,https://github.com/spf13/cobra,A Commander for modern Go CLI interactions,Go,42663,3029,2013-09-03T20:40:26Z,2025-12-17T16:26:55Z
CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,C++那些事,C++,42618,8812,2019-07-14T08:45:45Z,2025-12-17T15:23:00Z
jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs.",TypeScript,42614,3415,2022-01-30T15:25:18Z,2025-12-17T12:29:57Z
zig,https://github.com/ziglang/zig,Moved to Codeberg,Zig,42602,3115,2015-08-06T00:51:28Z,2025-12-17T12:48:31Z
what-happens-when,https://github.com/alex/what-happens-when,"An attempt to answer the age old interview question ""What happens when you type google.com into your browser and press enter?""",,42564,5721,2013-11-07T04:30:06Z,2025-12-17T15:20:22Z
python-patterns,https://github.com/faif/python-patterns,A collection of design patterns/idioms in Python,Python,42548,7056,2012-06-06T21:02:35Z,2025-12-17T12:16:27Z
spark,https://github.com/apache/spark,Apache Spark - A unified analytics engine for large-scale data processing,Scala,42507,28973,2014-02-25T08:00:08Z,2025-12-17T16:30:40Z
git-flight-rules,https://github.com/k88hudson/git-flight-rules,Flight rules for git,,42484,3201,2014-07-22T20:35:09Z,2025-12-17T15:25:02Z
legado,https://github.com/gedoor/legado,"Legado 3.0 Book Reader with powerful controls & full functions❤️阅读3.0, 阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。",Kotlin,42412,4767,2019-05-22T04:18:58Z,2025-12-17T16:44:10Z
kong,https://github.com/Kong/kong,🦍 The Cloud-Native Gateway for APIs & AI,Lua,42394,5042,2014-11-17T23:56:08Z,2025-12-17T16:43:41Z
Alamofire,https://github.com/Alamofire/Alamofire,Elegant HTTP Networking in Swift,Swift,42259,7645,2014-07-31T05:56:19Z,2025-12-17T13:20:50Z
TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,C++,42227,3548,2017-07-30T02:51:17Z,2025-12-17T15:51:37Z
helix,https://github.com/helix-editor/helix,A post-modern modal text editor.,Rust,41892,3205,2020-06-01T04:26:56Z,2025-12-17T16:35:51Z
ailearning,https://github.com/apachecn/ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,Python,41857,11605,2017-02-25T08:53:02Z,2025-12-17T13:22:05Z
diagrams,https://github.com/mingrammer/diagrams,:art: Diagram as Code for prototyping cloud system architectures,Python,41836,2697,2020-02-02T15:23:24Z,2025-12-17T13:12:07Z
upscayl,https://github.com/upscayl/upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",TypeScript,41786,1980,2022-07-30T17:19:20Z,2025-12-17T15:05:36Z
milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",Go,41708,3718,2019-09-16T06:43:43Z,2025-12-17T16:33:02Z
cli,https://github.com/cli/cli,GitHub’s official command line tool,Go,41682,7607,2019-10-03T15:24:53Z,2025-12-17T15:32:38Z
